Date,Deaths,max_temp,min_temp,mean_temp,barometer,humidity,rainfall,tot_deaths,state_of_weather
5/14/1981,1,87,64.5,74.2,29.876,69,1.21,27,Cloudy 
5/26/1981,1,87,64,77,30.089,43.7,0,15,Clear
5/31/1981,1,86,71,76.2,29.806,60.3,0.03,16,Fair
6/29/1981,1,94,76.5,84.6,29.867,73.3,1,28,Fair
7/1/1981,0,82,65,72.3,30.105,54,0,14,Fair
7/2/1981,0,85,65.5,74.3,30.185,55.3,0,12,Clear
7/3/1981,1,92,67,79,30.095,51.7,0,20,Clear
7/4/1981,1,94,73,82.2,30.047,51.3,0,21,Fair
7/5/1981,1,93,75,83.7,30.003,56.3,0,18,Clear
7/6/1981,0,97,78,88,30.019,58,0,22,fair
7/7/1981,16,98,82,88.9,30.06,57.5,0,62,fair
7/8/1981,18,99.5,81,89.4,30.021,53.7,0,54,Clear
7/9/1981,21,100.5,79.5,89.9,29.966,53.7,0,59,fair
7/10/1981,30,103.5,80.5,91.1,29.99,50.5,0,67,Clear
7/11/1981,39,102.5,82,91.7,30.04,47.7,0,69,Clear
7/12/1981,54,102.5,82.2,91.4,30.097,45.8,0,94,Clear
7/13/1981,42,99.2,82.3,89.3,30.025,53.3,0,76,fair
7/14/1981,13,94.3,75,83.8,29.994,67.3,1.54,44,fair
7/15/1981,11,90.2,74.3,82.4,29.943,67.3,0.2,28,fair
7/16/1981,5,95,76.5,86.3,29.919,66.3,,22,Cloudy 
7/17/1981,5,87,69.5,76.8,29.878,68.3,0.29,24,fair
7/18/1981,1,85,68.5,75.8,29.849,53.3,0,8,Clear
7/19/1981,5,87,67.2,75,29.919,55.2,0,17,Clear
7/20/1981,0,90,68,80.6,29.878,51.3,0,21,fair
7/21/1981,1,87,72.8,76.2,29.849,87.7,0.93,10,Cloudy 
7/22/1981,3,86,71,77,29.792,73.7,0.01,16,Cloudy 
7/23/1981,1,86,68.4,76.4,29.955,61.7,0,22,Clear
7/24/1981,0,90,69,77.8,29.949,59.2,0,20,Clear
7/25/1981,0,89.6,72.4,79.7,29.924,52.3,0,12,fair
7/26/1981,0,81,69,74,29.995,56.3,0,14,fair
7/27/1981,0,81,63.5,72.7,30.023,56.7,0,18,Clear
7/28/1981,0,82,64,73.3,30.036,55.3,0,9,Clear
7/29/1981,0,83,66,73.1,30.08,68,0.15,18,Clear
7/30/1981,0,84,66.8,75.3,30.141,64.3,0,19,Clear
7/31/1981,0,89,67.8,77.8,30.15,60.3,0,13,Clear
8/1/1981,0,90.5,70.8,80.3,30.101,57.7,0,22,Clear
8/2/1981,2,91.5,71.7,82.3,30.09,57.7,0,30,fair
8/3/1981,0,95,74,84,30.1,57,0,18,fair
8/4/1981,2,98,73.8,84.5,30.084,50,0,19,fair
8/5/1981,2,98,78,86.7,30.035,51.3,0,22,Clear
8/6/1981,2,93,75,78.7,29.984,73.3,0.13,25,fair
8/7/1981,0,82,72.3,75.9,29.998,70.7,0.05,13,fair
8/8/1981,0,84.3,64.5,73.8,30.053,59.3,0,13,Clear
8/9/1981,2,97.2,70,85.4,29.9,50.3,0,30,Clear
8/10/1981,0,94,77,83.8,29.895,51,0,25,Clear
8/11/1981,0,90.3,71.8,80.5,29.966,44.7,0,13,Clear
8/12/1981,0,101,72.7,87.1,29.88,47,0,21,fair
8/13/1981,1,93,75,83,29.884,57.7,0.07,21,Cloudy 
8/14/1981,1,81.5,65,72,30.017,56.7,0,19,fair
8/15/1981,0,83.5,62.3,71.7,30.111,45.3,0,17,Clear
8/16/1981,0,85.3,63,74.5,30.097,46.3,0,13,Clear
8/17/1981,0,87.5,68,78.2,30.019,62.3,0,19,fair
8/18/1981,0,82,68.3,72.3,29.954,66.3,0.01,14,Cloudy 
